"","atnd_experience","ambiente","ambiente_aberta","Food_Quality","novo_diferente","denovo_manter","mudanca_notavel","flag_cliente_novo","Date_Time"
"470","habilidosos","estacionamento","",3,"","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-17 01:00:00
"471","tem atencao","estacionamento","",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-02 02:00:00
"472","habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",1,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-22 15:00:00
"473","comente","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-22 14:00:00
"474","habilidosos","instagramavel","",5,"Seria ótimo ter uma área para crianças brincarem.","o milkshake, eu viria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-11-18 19:00:00
"475","comente","instagramavel","",3,"","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-11-29 04:00:00
"476","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",2,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-26 08:00:00
"477","gente boa","temperatura","",3,"Seria ótimo ter uma área para crianças brincarem.","lugar arrumado","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-16 18:00:00
"478","organização","conforto","",4,"","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-14 22:00:00
"479","tem atencao","conforto","O estilo moderno e acolhedor do interior.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","as sobremesas são maravilhosas, nunca mudem","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-12-21 11:00:00
"480","gente boa","acessibilidade","O estilo moderno e acolhedor do interior.",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-24 06:00:00
"481","comente","conforto","",3,"Seria melhor se o restaurante aceitasse reservas online.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-02 09:00:00
"482","gente boa","acessibilidade","",3,"Mais variedade de cervejas artesanais.","","A música ambiente mudou e agora está mais agradável.",0,2023-12-14 09:00:00
"483","tem atencao","conforto","O estilo moderno e acolhedor do interior.",3,"","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-22 16:00:00
"484","gente boa","instagramavel","",2,"Mais variedade de cervejas artesanais.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-11 23:00:00
"485","organização","conforto","",1,"","banheiros cheirosos","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-04 11:00:00
"486","gente boa","instagramavel","",3,"Seria ótimo ter uma área para crianças brincarem.","organização do ambiente","",0,2023-11-05 02:00:00
"487","gente boa","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-14 23:00:00
"488","comente","estacionamento","O estilo moderno e acolhedor do interior.",4,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-30 01:00:00
"489","comente","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-14 07:00:00
"490","gente boa","estacionamento","O sorriso e a simpatia dos funcionários.",4,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",1,2023-12-16 22:00:00
"491","habilidosos","temperatura","",4,"Uma noite temática por semana seria interessante.","o milkshake, eu viria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-12-27 04:00:00
"492","organização","conforto","",2,"","banheiros cheirosos","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-27 14:00:00
"493","tem atencao","conforto","O estilo moderno e acolhedor do interior.",5,"Seria ótimo ter uma área para crianças brincarem.","facil acesso","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-11 01:00:00
"494","tem atencao","conforto","",3,"Mais variedade de cervejas artesanais.","facil acesso","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-07 06:00:00
"495","tem atencao","acessibilidade","",3,"Gostaria que o cardápio tivesse mais fotos dos pratos.","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-18 21:00:00
"496","gente boa","conforto","",2,"","o milkshake, eu viria só por ele","A música ambiente mudou e agora está mais agradável.",0,2023-11-03 09:00:00
"497","comente","conforto","A limpeza e organização do local foram impecáveis.",1,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-02 07:00:00
"498","habilidosos","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-24 15:00:00
"499","gente boa","conforto","O sorriso e a simpatia dos funcionários.",4,"","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-20 22:00:00
"500","tem atencao","acessibilidade","",2,"","lugar arrumado","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-16 07:00:00
"501","tem atencao","estacionamento","O sorriso e a simpatia dos funcionários.",3,"Gostaria de ver opções de pratos veganos no menu.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-16 03:00:00
"502","organização","conforto","",5,"","organização do ambiente","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-27 23:00:00
"503","habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-11 06:00:00
"504","organização","conforto","A limpeza e organização do local foram impecáveis.",4,"","banheiros cheirosos","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-18 14:00:00
"505","habilidosos","temperatura","",5,"","","",0,2023-12-03 12:00:00
"506","gente boa","instagramavel","",4,"","o milkshake, eu viria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-11 12:00:00
"507","comente","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-05 17:00:00
"508","comente","conforto","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","o milkshake, eu viria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-08 12:00:00
"509","habilidosos","conforto","O estilo moderno e acolhedor do interior.",3,"","lugar arrumado","",1,2023-11-29 08:00:00
"510","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",4,"","o milkshake, eu viria só por ele","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-24 22:00:00
"511","gente boa","temperatura","",1,"Mais variedade de cervejas artesanais.","facil acesso","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-29 07:00:00
"512","tem atencao","acessibilidade","",5,"Seria ótimo ter uma área para crianças brincarem.","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-01 13:00:00
"513","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",2,"Poderiam melhorar a acústica do local para reduzir o ruído.","banheiros cheirosos","",0,2023-11-24 08:00:00
"514","gente boa","acessibilidade","",4,"","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-03 07:00:00
"515","tem atencao","conforto","O estilo moderno e acolhedor do interior.",3,"","facil acesso","",0,2023-11-03 07:00:00
"516","gente boa","instagramavel","",3,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","lugar arrumado","",0,2023-12-13 06:00:00
"517","habilidosos","acessibilidade","O sorriso e a simpatia dos funcionários.",3,"Espero que o tempo de espera para ser atendido seja menor.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-13 16:00:00
"518","tem atencao","estacionamento","",5,"Gostaria de ver opções de pratos veganos no menu.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-01 03:00:00
"519","habilidosos","estacionamento","A limpeza e organização do local foram impecáveis.",5,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-04 08:00:00
"520","tem atencao","instagramavel","O sorriso e a simpatia dos funcionários.",4,"Mais variedade de cervejas artesanais.","lugar arrumado","",1,2023-12-29 03:00:00
"521","gente boa","estacionamento","O estilo moderno e acolhedor do interior.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-11-29 23:00:00
"522","habilidosos","estacionamento","",5,"Mais variedade de cervejas artesanais.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-30 21:00:00
"523","tem atencao","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","facil acesso","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-25 15:00:00
"524","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-26 12:00:00
"525","gente boa","conforto","",5,"Seria melhor se o restaurante aceitasse reservas online.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-29 17:00:00
"526","gente boa","instagramavel","O estilo moderno e acolhedor do interior.",3,"Uma noite temática por semana seria interessante.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-16 05:00:00
"527","organização","acessibilidade","O sorriso e a simpatia dos funcionários.",5,"","o milkshake, eu viria só por ele","",1,2023-12-27 13:00:00
"528","comente","instagramavel","",2,"","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-07 10:00:00
"529","habilidosos","conforto","",3,"Mais variedade de cervejas artesanais.","o milkshake, eu viria só por ele","Está mais organizado, especialmente a área de espera por mesas.",1,2023-11-03 09:00:00
"530","organização","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-11-18 05:00:00
"531","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",5,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-14 10:00:00
"532","gente boa","estacionamento","A limpeza e organização do local foram impecáveis.",2,"Uma noite temática por semana seria interessante.","","",0,2023-12-16 19:00:00
"533","tem atencao","conforto","",3,"Uma noite temática por semana seria interessante.","organização do ambiente","A música ambiente mudou e agora está mais agradável.",1,2023-11-18 06:00:00
"534","tem atencao","temperatura","O sorriso e a simpatia dos funcionários.",3,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-23 07:00:00
"535","habilidosos","instagramavel","",3,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","O tempo de espera pela comida diminuiu significativamente.",0,2023-11-19 08:00:00
"536","comente","estacionamento","O sorriso e a simpatia dos funcionários.",1,"","","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-06 14:00:00
"537","tem atencao","temperatura","O estilo moderno e acolhedor do interior.",4,"Seria melhor se o restaurante aceitasse reservas online.","as sobremesas são maravilhosas, nunca mudem","",0,2023-11-26 04:00:00
"538","tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-01 06:00:00
"539","comente","conforto","O estilo moderno e acolhedor do interior.",5,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-16 10:00:00
"540","comente","estacionamento","",3,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-13 06:00:00
"541","habilidosos","instagramavel","A limpeza e organização do local foram impecáveis.",5,"Gostaria de ver opções de pratos veganos no menu.","","A música ambiente mudou e agora está mais agradável.",0,2023-12-11 08:00:00
"542","organização","estacionamento","",4,"","facil acesso","",1,2023-12-03 07:00:00
"543","gente boa","conforto","O estilo moderno e acolhedor do interior.",3,"Gostaria de ver opções de pratos veganos no menu.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-12-27 08:00:00
"544","habilidosos","instagramavel","",3,"Gostaria de ver opções de pratos veganos no menu.","as sobremesas são maravilhosas, nunca mudem","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-09 15:00:00
"545","habilidosos","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"","organização do ambiente","",0,2023-11-29 01:00:00
"546","tem atencao","acessibilidade","",5,"","facil acesso","",0,2023-12-06
"547","organização","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Seria ótimo ter uma área para crianças brincarem.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",0,2023-11-29 22:00:00
"548","gente boa","acessibilidade","A limpeza e organização do local foram impecáveis.",5,"Adoraria ver mais opções de sobremesas sem glúten.","facil acesso","",0,2023-12-15 23:00:00
"549","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",2,"","o milkshake, eu viria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-15 03:00:00
"550","tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",3,"Mais variedade de cervejas artesanais.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-05 09:00:00
"551","habilidosos","instagramavel","",4,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-06 04:00:00
"552","gente boa","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",3,"Espero que o tempo de espera para ser atendido seja menor.","o milkshake, eu viria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-12-21 21:00:00
"553","organização","estacionamento","O estilo moderno e acolhedor do interior.",3,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-03
"554","tem atencao","temperatura","A iluminação suave e as cores harmoniosas do espaço.",3,"Espero que o tempo de espera para ser atendido seja menor.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-08 05:00:00
"555","comente","conforto","",5,"Seria melhor se o restaurante aceitasse reservas online.","facil acesso","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-27 01:00:00
"556","gente boa","instagramavel","O sorriso e a simpatia dos funcionários.",5,"Espero que o tempo de espera para ser atendido seja menor.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-03 18:00:00
"557","tem atencao","estacionamento","",3,"Gostaria de ver opções de pratos veganos no menu.","organização do ambiente","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-24 21:00:00
"558","gente boa","estacionamento","",5,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","as sobremesas são maravilhosas, nunca mudem","A música ambiente mudou e agora está mais agradável.",0,2023-11-18 02:00:00
"559","gente boa","conforto","",3,"Seria melhor se o restaurante aceitasse reservas online.","o milkshake, eu viria só por ele","O tempo de espera pela comida diminuiu significativamente.",0,2023-12-27 07:00:00
"560","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Uma noite temática por semana seria interessante.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-25 21:00:00
"561","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","banheiros cheirosos","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-01 20:00:00
"562","comente","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-30 17:00:00
"563","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","facil acesso","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-28 16:00:00
"564","gente boa","conforto","A limpeza e organização do local foram impecáveis.",4,"Seria ótimo ter uma área para crianças brincarem.","o milkshake, eu viria só por ele","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-09 21:00:00
"565","gente boa","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",3,"","","A música ambiente mudou e agora está mais agradável.",0,2023-11-30 08:00:00
"566","organização","temperatura","",2,"Seria melhor se o restaurante aceitasse reservas online.","","",1,2023-12-11 04:00:00
"567","organização","instagramavel","A limpeza e organização do local foram impecáveis.",4,"","banheiros cheirosos","Agora há mais opções de vinhos e coquetéis no cardápio.",1,2023-11-27 12:00:00
"568","comente","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-11-21 14:00:00
"569","tem atencao","temperatura","A limpeza e organização do local foram impecáveis.",3,"Adoraria ver mais opções de sobremesas sem glúten.","","",0,2023-12-29 23:00:00
"570","tem atencao","conforto","O sorriso e a simpatia dos funcionários.",4,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","as sobremesas são maravilhosas, nunca mudem","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-11-28 23:00:00
"571","organização","estacionamento","",1,"Gostaria que o cardápio tivesse mais fotos dos pratos.","lugar arrumado","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-11-06 05:00:00
"572","comente","conforto","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Espero que o tempo de espera para ser atendido seja menor.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-12 20:00:00
"573","organização","conforto","A iluminação suave e as cores harmoniosas do espaço.",1,"Adoraria ver mais opções de sobremesas sem glúten.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",1,2023-12-23 07:00:00
"574","comente","conforto","A iluminação suave e as cores harmoniosas do espaço.",2,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","",0,2023-12-08 07:00:00
"575","tem atencao","estacionamento","O sorriso e a simpatia dos funcionários.",3,"Gostaria de ver opções de pratos veganos no menu.","","A música ambiente mudou e agora está mais agradável.",0,2023-11-03 10:00:00
"576","comente","estacionamento","",4,"Gostaria de ver opções de pratos veganos no menu.","o milkshake, eu viria só por ele","",0,2023-11-21 09:00:00
"577","organização","temperatura","",5,"","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-18 21:00:00
"578","gente boa","instagramavel","",3,"Seria melhor se o restaurante aceitasse reservas online.","","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-12-04 11:00:00
"579","tem atencao","estacionamento","",5,"Gostaria de ver opções de pratos veganos no menu.","facil acesso","",0,2023-11-06 05:00:00
"580","organização","instagramavel","",4,"","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-11-28 12:00:00
"581","gente boa","conforto","O sorriso e a simpatia dos funcionários.",3,"Uma noite temática por semana seria interessante.","organização do ambiente","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-17 15:00:00
"582","gente boa","instagramavel","A limpeza e organização do local foram impecáveis.",3,"Adoraria ver mais opções de sobremesas sem glúten.","o milkshake, eu viria só por ele","",0,2023-11-10 02:00:00
"583","comente","temperatura","A limpeza e organização do local foram impecáveis.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","",0,2023-12-21 23:00:00
"584","habilidosos","instagramavel","O estilo moderno e acolhedor do interior.",5,"Poderiam melhorar a acústica do local para reduzir o ruído.","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-21 21:00:00
"585","organização","acessibilidade","",3,"Mais variedade de cervejas artesanais.","","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-26 18:00:00
"586","organização","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Seria melhor se o restaurante aceitasse reservas online.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",1,2023-12-18 01:00:00
"587","habilidosos","temperatura","O estilo moderno e acolhedor do interior.",4,"Adoraria ver mais opções de sobremesas sem glúten.","organização do ambiente","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-21 16:00:00
"588","comente","instagramavel","",4,"Gostaria que o cardápio tivesse mais fotos dos pratos.","","As porções estão maiores, o que é ótimo para o preço que pagamos.",1,2023-11-06 16:00:00
"589","habilidosos","acessibilidade","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-24 20:00:00
"590","gente boa","temperatura","",3,"Uma noite temática por semana seria interessante.","o milkshake, eu viria só por ele","Está mais organizado, especialmente a área de espera por mesas.",0,2023-12-23 03:00:00
"591","organização","acessibilidade","A limpeza e organização do local foram impecáveis.",4,"","facil acesso","",0,2023-11-07 13:00:00
"592","comente","instagramavel","",4,"","o milkshake, eu viria só por ele","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-11-26 06:00:00
"593","gente boa","instagramavel","",5,"Espero que o tempo de espera para ser atendido seja menor.","lugar arrumado","Agora há mais opções de vinhos e coquetéis no cardápio.",0,2023-11-01 22:00:00
"594","comente","instagramavel","A iluminação suave e as cores harmoniosas do espaço.",4,"","facil acesso","",0,2023-12-20 14:00:00
"595","tem atencao","instagramavel","O sorriso e a simpatia dos funcionários.",5,"","o milkshake, eu viria só por ele","",1,2023-12-04 10:00:00
"596","tem atencao","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"","o milkshake, eu viria só por ele","",0,2023-12-02 01:00:00
"597","comente","instagramavel","A música ambiente estava perfeita, não muito alta nem muito baixa.",3,"Adoraria ver mais opções de sobremesas sem glúten.","banheiros cheirosos","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-08 20:00:00
"598","habilidosos","acessibilidade","A iluminação suave e as cores harmoniosas do espaço.",4,"","","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-20 06:00:00
"599","tem atencao","estacionamento","A iluminação suave e as cores harmoniosas do espaço.",4,"","lugar arrumado","",0,2023-11-30 02:00:00
"600","tem atencao","conforto","",1,"","lugar arrumado","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-18 05:00:00
"601","gente boa","estacionamento","",1,"Preferiria que houvesse mais opções de bebidas não alcoólicas.","organização do ambiente","",1,2023-11-18 11:00:00
"602","organização","estacionamento","O sorriso e a simpatia dos funcionários.",1,"Espero que o tempo de espera para ser atendido seja menor.","banheiros cheirosos","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-08 14:00:00
"603","habilidosos","acessibilidade","A limpeza e organização do local foram impecáveis.",3,"Uma noite temática por semana seria interessante.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","",1,2023-12-04 01:00:00
"604","tem atencao","instagramavel","O sorriso e a simpatia dos funcionários.",4,"Poderiam melhorar a acústica do local para reduzir o ruído.","banheiros cheirosos","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-12-23 10:00:00
"605","comente","temperatura","A música ambiente estava perfeita, não muito alta nem muito baixa.",4,"Mais variedade de cervejas artesanais.","organização do ambiente","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-12-05 08:00:00
"606","comente","conforto","A iluminação suave e as cores harmoniosas do espaço.",4,"Uma noite temática por semana seria interessante.","organização do ambiente","",0,2023-11-13 05:00:00
"607","organização","temperatura","A limpeza e organização do local foram impecáveis.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","adorei o milkshake, tem sabores diferentes, voltaria só por ele","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-12-11 09:00:00
"608","gente boa","estacionamento","",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","o milkshake, eu viria só por ele","Notei que o menu foi atualizado com mais opções saudáveis.",0,2023-12-20 05:00:00
"609","comente","temperatura","O estilo moderno e acolhedor do interior.",2,"","lugar arrumado","As porções estão maiores, o que é ótimo para o preço que pagamos.",0,2023-12-15 19:00:00
"610","gente boa","acessibilidade","",2,"Mais variedade de cervejas artesanais.","","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-01 21:00:00
"611","organização","conforto","O sorriso e a simpatia dos funcionários.",3,"Poderiam melhorar a acústica do local para reduzir o ruído.","","O restaurante está com uma decoração nova, muito mais moderna e convidativa.",0,2023-11-23 22:00:00
"612","comente","instagramavel","",5,"Gostaria que o cardápio tivesse mais fotos dos pratos.","facil acesso","",0,2023-12-30 09:00:00
"613","organização","conforto","A limpeza e organização do local foram impecáveis.",1,"Seria melhor se o restaurante aceitasse reservas online.","banheiros cheirosos","A música ambiente mudou e agora está mais agradável.",0,2023-11-03 15:00:00
"614","comente","temperatura","A limpeza e organização do local foram impecáveis.",3,"Adoraria ver mais opções de sobremesas sem glúten.","","",0,2023-11-27 22:00:00
"615","organização","conforto","O estilo moderno e acolhedor do interior.",2,"Mais variedade de cervejas artesanais.","facil acesso","",0,2023-12-10 23:00:00
"616","comente","instagramavel","O sorriso e a simpatia dos funcionários.",3,"Mais variedade de cervejas artesanais.","banheiros cheirosos","Notei que o menu foi atualizado com mais opções saudáveis.",1,2023-12-30 05:00:00
"617","habilidosos","temperatura","A limpeza e organização do local foram impecáveis.",3,"","adorei o milkshake, tem sabores diferentes, voltaria só por ele","Está mais organizado, especialmente a área de espera por mesas.",1,2023-12-02 09:00:00
"618","tem atencao","temperatura","A iluminação suave e as cores harmoniosas do espaço.",4,"Seria ótimo ter uma área para crianças brincarem.","","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-09 05:00:00
"619","tem atencao","temperatura","O estilo moderno e acolhedor do interior.",3,"Adoraria ver mais opções de sobremesas sem glúten.","lugar arrumado","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",1,2023-11-23 17:00:00
"620","gente boa","estacionamento","A limpeza e organização do local foram impecáveis.",3,"","banheiros cheirosos","",0,2023-12-30 12:00:00
"621","comente","acessibilidade","O estilo moderno e acolhedor do interior.",4,"","organização do ambiente","A qualidade do serviço melhorou muito, os garçons estão mais atenciosos.",0,2023-11-25 15:00:00
"622","tem atencao","estacionamento","O estilo moderno e acolhedor do interior.",1,"Uma noite temática por semana seria interessante.","o milkshake, eu viria só por ele","",0,2023-11-18 21:00:00
"623","comente","instagramavel","A limpeza e organização do local foram impecáveis.",5,"","banheiros cheirosos","Os preços estão mais acessíveis, o que me surpreendeu positivamente.",0,2023-12-30 19:00:00
"624","tem atencao","estacionamento","A música ambiente estava perfeita, não muito alta nem muito baixa.",2,"","o milkshake, eu viria só por ele","Percebi que o restaurante está usando ingredientes mais frescos e de melhor qualidade.",0,2023-11-10 21:00:00
